primary_function_no,primary_function_en,primary_topic_no,primary_topic_en,category,url,title,published_date,published_time,paragraph_type,paragraph_id,paragraph_nwords,doc_id,paragraph_uid,year,month
Risiko / usikkerhet,Risk / uncertainty,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2024/2024-12-19-rate/,Norges Bank,2024-12-19,10:00,p,11,120,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate__p11,2024,12
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2024/2024-12-19-rate/,Norges Bank,2024-12-19,10:00,p,12,15,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate__p12,2024,12
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2024/2024-12-19-rate/,Norges Bank,2024-12-19,10:00,li,13,4,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2024_2024_12_19_rate__p13,2024,12
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,li,5,6,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p5,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,6,22,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p6,2026,3
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,7,17,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p7,2026,3
Politikkforklaring / begrunnelse,Policy explanation / justification,Inflasjon og priser,Inflation and prices,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,8,70,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p8,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,9,16,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p9,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,10,61,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p10,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,11,90,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p11,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,12,43,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p12,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,13,54,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p13,2026,3
Økonomisk situasjonsbeskrivelse / diagnose,Economic assessment / diagnosis,Inflasjon og priser,Inflation and prices,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,14,32,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p14,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,15,74,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p15,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,16,26,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p16,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,17,62,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p17,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-03-26-pk/,Norges Bank,2026-03-26,10:30,p,18,82,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_03_26_pk__p18,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,li,5,5,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p5,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,6,12,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p6,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,blockquote,7,50,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p7,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,8,32,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p8,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,9,15,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p9,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,10,43,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p10,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,11,32,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p11,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,12,62,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p12,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,13,82,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p13,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,14,66,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p14,2026,2
Risiko / usikkerhet,Risk / uncertainty,Finansiell stabilitet og bank,Financial stability and banking,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,15,47,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p15,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Finansiell stabilitet og bank,Financial stability and banking,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,16,30,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p16,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Finansiell stabilitet og bank,Financial stability and banking,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,17,47,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p17,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,18,165,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p18,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,19,112,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p19,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,20,55,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p20,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,21,41,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p21,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,22,42,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p22,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,23,52,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p23,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,24,93,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p24,2026,2
Risiko / usikkerhet,Risk / uncertainty,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,25,8,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p25,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,26,125,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p26,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Rente og pengepolitisk linje,Interest rates and monetary stance,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,27,84,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p27,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,28,71,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p28,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,29,91,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p29,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,30,66,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p30,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-24-pal-longva/,Norges Bank,2026-02-25,10:00,p,31,19,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_24_pal_longva__p31,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,6,22,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p6,2026,2
Risiko / usikkerhet,Risk / uncertainty,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,7,37,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p7,2026,2
Annet / administrativt / ikke kodbar,Other / administrative / not codable,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,8,6,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p8,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,9,45,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p9,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,10,26,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p10,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,11,47,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p11,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,12,62,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p12,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,13,50,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p13,2026,2
Risiko / usikkerhet,Risk / uncertainty,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,14,28,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p14,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,15,44,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p15,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,16,29,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p16,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,17,52,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p17,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,18,12,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p18,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,19,4,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p19,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,20,13,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p20,2026,2
Økonomisk situasjonsbeskrivelse / diagnose,Economic assessment / diagnosis,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,21,54,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p21,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,22,6,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p22,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,23,5,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p23,2026,2
Økonomisk situasjonsbeskrivelse / diagnose,Economic assessment / diagnosis,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,24,56,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p24,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,25,27,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p25,2026,2
Risiko / usikkerhet,Risk / uncertainty,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Speech,https://www.norges-bank.no/en/news-events/news/Speeches/2026/2026-02-12-annual-address/,Norges Bank,2026-02-12,18:00,p,26,26,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address_,https___www_norges_bank_no_en_news_events_news_Speeches_2026_2026_02_12_annual_address__p26,2026,2
